image1,image2,similarity
glasses_11,glasses_4,359.784657816311
glasses_11,glasses_5,111.825757319144
glasses_11,glasses_6,138.224455144522
glasses_11,glasses_7,165.302752548165
glasses_11,glasses_8,123.761868117769
glasses_11,glasses_9,171.540082779507
glasses_11,glasses_10,157.257750206468
glasses_12,glasses_1,192.841904159858
glasses_12,glasses_2,79.6241169495775
glasses_12,glasses_3,56.0802995712398
glasses_12,glasses_4,286.644378978552
glasses_12,glasses_5,106.023582282434
glasses_12,glasses_6,113.991227732664
glasses_12,glasses_7,174.542258493466
glasses_12,glasses_8,50.0899191454728
glasses_12,glasses_9,137.440896388229
glasses_12,glasses_10,85.615419172016
glasses_12,glasses_11,74.9666592559653
glasses_13,glasses_1,138.683091975915
glasses_13,glasses_2,103.696673042099
glasses_13,glasses_3,164.784708028385
glasses_13,glasses_4,196.30588376307
glasses_13,glasses_5,114.629839047257
glasses_13,glasses_6,88.8650662521556
glasses_13,glasses_7,167.839208768392
glasses_13,glasses_8,66.4830805543786
glasses_13,glasses_9,78.5684415016615
glasses_13,glasses_10,105.929221652951
glasses_13,glasses_11,172.235304162648
glasses_13,glasses_12,108.706025591961
glasses_14,glasses_1,212.953046467995
glasses_14,glasses_2,211.14213222377
glasses_14,glasses_3,256.019530504999
glasses_14,glasses_4,88.8144132446981
glasses_14,glasses_5,220.081802973349
glasses_14,glasses_6,190.318154677897
glasses_14,glasses_7,263.973483516811
glasses_14,glasses_8,152.643375224737
glasses_14,glasses_9,167.693172192549
glasses_14,glasses_10,153.600130208278
glasses_14,glasses_11,273.855801472235
glasses_14,glasses_12,202.556165050585
glasses_14,glasses_13,107.517440445725
glasses_15,glasses_1,175.422347493129
glasses_15,glasses_2,121.016527796826
glasses_15,glasses_3,152.610615620277
glasses_15,glasses_4,189.15602025841
glasses_15,glasses_5,137.898513407506
glasses_15,glasses_6,118.190524154858
glasses_15,glasses_7,197.914122790669
glasses_15,glasses_8,48.8262224629348
glasses_15,glasses_9,114.214710085873
glasses_15,glasses_10,71.028163428319
glasses_15,glasses_11,170.66048165876
glasses_15,glasses_12,98.6154146165801
glasses_15,glasses_13,37.5765884561119
glasses_15,glasses_14,103.94229168149
glasses_16,glasses_1,148.216058509191
glasses_16,glasses_2,36.8781778291715
glasses_16,glasses_3,90.8019823572151
glasses_16,glasses_4,281.831509948764
glasses_16,glasses_5,62.6817357768593
glasses_16,glasses_6,69.1809222257119
glasses_16,glasses_7,131.745967680229
glasses_16,glasses_8,59.2368128784795
glasses_16,glasses_9,95.3414914924242
glasses_16,glasses_10,113.463650567043
glasses_16,glasses_11,85.0411665018772
glasses_16,glasses_12,45.1220566907139
glasses_16,glasses_13,88.5494212290515
glasses_16,glasses_14,193.878828137577
glasses_16,glasses_15,95.1892851112981
glasses_2,glasses_1,796.693793122552
glasses_3,glasses_1,857.401306273789
glasses_3,glasses_2,420.685155430994
glasses_4,glasses_1,536.753202132973
glasses_4,glasses_2,431.700127403271
glasses_4,glasses_3,321.068528510659
glasses_5,glasses_1,508.948916886557
glasses_5,glasses_2,288.669361034385
glasses_5,glasses_3,498.038151149086
glasses_5,glasses_4,295.027117397706
glasses_6,glasses_1,338.196688333875
glasses_6,glasses_2,638.192760848946
glasses_6,glasses_3,556.577038692758
glasses_6,glasses_4,247.94555854058
glasses_6,glasses_5,406.00492607849
glasses_7,glasses_1,557.907698459163
glasses_7,glasses_2,464.200387763733
glasses_7,glasses_3,306.936475512442
glasses_7,glasses_4,45.1774279923061
glasses_7,glasses_5,340.094104624
glasses_7,glasses_6,250.391693152948
glasses_8,glasses_1,49.1629942131274
glasses_8,glasses_2,793.782085965664
glasses_8,glasses_3,878.554494610323
glasses_8,glasses_4,559.604324500803
glasses_8,glasses_5,505.113848552977
glasses_8,glasses_6,374.833296279826
glasses_8,glasses_7,583.743094177567
glasses_9,glasses_1,308.781476128346
glasses_9,glasses_2,604.298767167367
glasses_9,glasses_3,560.771789590026
glasses_9,glasses_4,242.293210800468
glasses_9,glasses_5,359.261743023106
glasses_9,glasses_6,56.2227711874824
glasses_9,glasses_7,254.803846124818
glasses_9,glasses_8,340.618554984898
glasses_10,glasses_1,831.94050268033
glasses_10,glasses_2,346.577552648754
glasses_10,glasses_3,74.1080292545956
glasses_10,glasses_4,303.659348612882
glasses_10,glasses_5,439.856794877606
glasses_10,glasses_6,549.110189306299
glasses_10,glasses_7,300.043330204156
glasses_10,glasses_8,849.448056092896
glasses_10,glasses_9,545.858040153298
glasses_11,glasses_1,36.0555127546399
glasses_11,glasses_2,801.668884265817
glasses_11,glasses_3,844.247001771401
glasses_11,glasses_4,523.178745745658
glasses_11,glasses_5,515.65201444385
glasses_11,glasses_6,314.230806892004
glasses_11,glasses_7,541.864374174941
glasses_11,glasses_8,85.2115015710907
glasses_11,glasses_9,289.347541893827
glasses_11,glasses_10,821.635563981988
glasses_12,glasses_1,294.015305724039
glasses_12,glasses_2,892.425907288667
glasses_12,glasses_3,806.062032352349
glasses_12,glasses_4,509.722473508869
glasses_12,glasses_5,635.787700415791
glasses_12,glasses_6,263.321096762109
glasses_12,glasses_7,506.448417906503
glasses_12,glasses_8,343.0714211356
glasses_12,glasses_9,288.452769097473
glasses_12,glasses_10,806.38700386353
glasses_12,glasses_11,258.001937977218
glasses_13,glasses_1,251.001992023968
glasses_13,glasses_2,874.314016815469
glasses_13,glasses_3,808.673605356327
glasses_13,glasses_4,504.699910838114
glasses_13,glasses_5,611.346873714097
glasses_13,glasses_6,256.758641529355
glasses_13,glasses_7,505.253401769845
glasses_13,glasses_8,300.04166377355
glasses_13,glasses_9,273.853975687774
glasses_13,glasses_10,805.044719254775
glasses_13,glasses_11,215.002325568818
glasses_13,glasses_12,43.0464865000618
glasses_14,glasses_1,583.211796862855
glasses_14,glasses_2,509.231774342489
glasses_14,glasses_3,303.059400118195
glasses_14,glasses_4,100.079968025574
glasses_14,glasses_5,395.081004352272
glasses_14,glasses_6,259.347257552495
glasses_14,glasses_7,55.0
glasses_14,glasses_8,612.389581883951
glasses_14,glasses_9,275.045450789501
glasses_14,glasses_10,309.517366233302
glasses_14,glasses_11,564.386392465304
glasses_14,glasses_12,503.015904321126
glasses_14,glasses_13,506.503701862089
glasses_15,glasses_1,182.010988679255
glasses_15,glasses_2,848.818590748341
glasses_15,glasses_3,817.389136213591
glasses_15,glasses_4,504.063488064748
glasses_15,glasses_5,576.514527137001
glasses_15,glasses_6,260.931025368774
glasses_15,glasses_7,510.757280907478
glasses_15,glasses_8,231.008657846411
glasses_15,glasses_9,263.548856950661
glasses_15,glasses_10,807.485603586838
glasses_15,glasses_11,146.054784242078
glasses_15,glasses_12,112.111551590369
glasses_15,glasses_13,69.065186599328
glasses_15,glasses_14,519.353444197687
glasses_16,glasses_1,795.110055275369
glasses_16,glasses_2,46.2709412050371
glasses_16,glasses_3,374.482309328492
glasses_16,glasses_4,401.676486740262
glasses_16,glasses_5,292.385020136121
glasses_16,glasses_6,617.961972940083
glasses_16,glasses_7,431.602826682124
glasses_16,glasses_8,795.057859529733
glasses_16,glasses_9,587.252926770059
glasses_16,glasses_10,300.374765917512
glasses_16,glasses_11,798.010024999686
glasses_16,glasses_12,875.685445808025
glasses_16,glasses_13,859.535921297068
glasses_16,glasses_14,474.400674535777
glasses_16,glasses_15,837.405517058492
glasses_2,glasses_1,544.091904001521
glasses_3,glasses_1,409.0
glasses_3,glasses_2,686.656391508883
glasses_4,glasses_1,959.380008130251
glasses_4,glasses_2,641.325190523497
glasses_4,glasses_3,774.173753107143
glasses_5,glasses_1,799.462319312174
glasses_5,glasses_2,624.819974072532
glasses_5,glasses_3,551.515185647685
glasses_5,glasses_4,239.603839702122
glasses_6,glasses_1,870.11780811566
glasses_6,glasses_2,475.117880109768
glasses_6,glasses_3,768.0
glasses_6,glasses_4,188.76705220986
glasses_6,glasses_5,327.9649371503
glasses_7,glasses_1,321.123029382821
glasses_7,glasses_2,365.25607455592
glasses_7,glasses_3,321.75922675193
glasses_7,glasses_4,638.324368953591
glasses_7,glasses_5,487.643312268301
glasses_7,glasses_6,558.949908310217
glasses_8,glasses_1,645.849053572118
glasses_8,glasses_2,682.000733137436
glasses_8,glasses_3,305.944439400359
glasses_8,glasses_4,512.008788987064
glasses_8,glasses_5,273.358738656733
glasses_8,glasses_6,562.425106125251
glasses_8,glasses_7,396.102259523977
glasses_9,glasses_1,668.808642288659
glasses_9,glasses_2,414.146109483115
glasses_9,glasses_3,533.02345164167
glasses_9,glasses_4,291.158032690153
glasses_9,glasses_5,211.047388043539
glasses_9,glasses_6,235.053185470863
glasses_9,glasses_7,348.173807171074
glasses_9,glasses_8,353.344024995471
glasses_10,glasses_1,551.515185647685
glasses_10,glasses_2,217.36835096214
glasses_10,glasses_3,551.144264235781
glasses_10,glasses_4,459.113275782785
glasses_10,glasses_5,409.0
glasses_10,glasses_6,327.340801001036
glasses_10,glasses_7,264.0018939326
glasses_10,glasses_8,480.160389869885
glasses_10,glasses_9,200.104972451961
glasses_11,glasses_1,205.0
glasses_11,glasses_2,584.945296587638
glasses_11,glasses_3,204.0
glasses_11,glasses_4,847.151108126525
glasses_11,glasses_5,655.305272373113
glasses_11,glasses_6,794.631990294879
glasses_11,glasses_7,248.002016120837
